,country,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity
1,Albania,0.55,0.6,0.475,0.45
2,Algeria,0.5,0.36,0.24,0.64
3,Angola,0.516666667,0.483333333,0.333333333,0.5
5,Argentina,0.423076923,0.469230769,0.338461538,0.453846154
6,Armenia,0.48,0.46,0.42,0.44
7,Australia,0.6,0.583333333,0.475,0.466666667
8,Austria,0.375,0.35,0.325,0.35
9,Azerbaijan,0.5,0.5,0.425,0.4375
10,Bahamas,0.7,0.7,0.6,0.3
11,Bangladesh,0.7,0.766666667,0.633333333,0.266666667
12,Belarus,0.5,0.5,0.45,0.45
13,Belgium,0.5,0.6,0.5,0.5
14,Belize,0.866666667,0.866666667,0.8,0.2
15,Benin,0.55,0.55,0.45,0.4
16,Bhutan,0.275,0.425,0.275,0.175
17,Bolivia,0.516666667,0.575,0.45,0.366666667
18,Bosnia and Herzegovina,0.575,0.625,0.5,0.45
19,Botswana,0.5,0.3,0.2,0.65
20,Brazil,0.644444444,0.744444444,0.6,0.311111111
21,Brunei,1,1,1,0.1
22,Bulgaria,0.56,0.62,0.5,0.46
23,Burkina Faso,0.566666667,0.433333333,0.333333333,0.533333333
24,Burundi,0.55,0.75,0.5,0.25
25,Cambodia,0.8,0.8,0.7,0.25
26,Cameroon,0.72,0.64,0.56,0.38
27,Canada,0.358333333,0.358333333,0.325,0.35
28,Central African Republic,0.666666667,0.666666667,0.566666667,0.333333333
29,Chad,0.566666667,0.433333333,0.333333333,0.533333333
30,Chile,0.4125,0.3625,0.2875,0.525
,Hong Kong China,0.43125,0.45625,0.36875,0.35
31,China,0.43125,0.45625,0.36875,0.35
32,Colombia,0.644444444,0.677777778,0.544444444,0.366666667
33,Congo Dem. Rep.,0.85,0.875,0.775,0.2
34,Costa Rica,0.775,0.8,0.725,0.275
35,Croatia,0.575,0.675,0.525,0.475
36,Cuba,0.8,0.833333333,0.7,0.233333333
37,Cyprus,0.55,0.6,0.4,0.45
38,Czech Republic,0.5,0.5,0.45,0.45
39,Ivory Coast,0.8,0.8,0.7,0.25
40,Dem. Rep. Congo,0.666666667,0.783333333,0.633333333,0.266666667
41,Denmark,0.5,0.6,0.5,0.5
42,Djibouti,0.5,0.3,0.2,0.65
43,Dominican Republic,0.78,0.82,0.72,0.26
44,Ecuador,0.65,0.7375,0.6,0.3125
45,Egypt,0.5,0.233333333,0.166666667,0.733333333
46,El Salvador,0.7,0.7,0.6,0.3
47,Eq. Guinea,0.866666667,0.866666667,0.8,0.2
48,Eritrea,0.566666667,0.433333333,0.333333333,0.533333333
49,Estonia,0.5,0.4,0.4,0.4
50,Ethiopia,0.588888889,0.644444444,0.488888889,0.388888889
51,Falkland Is.,0.25,0.3,0.25,0.25
52,Fiji,0.95,0.95,0.9,0.15
53,Finland,0.333333333,0.266666667,0.266666667,0.3
54,France,0.625,0.675,0.575,0.375
55,Gabon,0.85,0.875,0.775,0.2
56,Gambia,0.633333333,0.666666667,0.533333333,0.333333333
57,Georgia,0.45,0.433333333,0.4,0.366666667
58,Germany,0.333333333,0.333333333,0.3,0.333333333
59,Ghana,0.666666667,0.666666667,0.566666667,0.333333333
60,Greece,0.56,0.62,0.5,0.46
61,Greenland,0.166666667,0.166666667,0.133333333,0.266666667
62,Guatemala,0.7,0.8,0.66,0.26
63,Guinea,0.8,0.833333333,0.7,0.233333333
64,Guinea-Bissau,0.75,0.8,0.65,0.25
65,Guyana,0.866666667,0.866666667,0.8,0.2
66,Haiti,0.866666667,0.866666667,0.8,0.2
67,Honduras,0.8,0.84,0.74,0.26
68,Hungary,0.5,0.5,0.45,0.45
69,Iceland,0.25,0.3,0.25,0.25
70,India,0.468421053,0.484210526,0.373684211,0.384210526
71,Indonesia,0.78,0.82,0.72,0.26
72,Iran,0.4875,0.4125,0.325,0.5625
73,Iraq,0.5,0.44,0.34,0.5
74,Ireland,0.5,0.6,0.5,0.5
75,Israel,0.566666667,0.466666667,0.3,0.566666667
76,Italy,0.4625,0.5,0.4125,0.4
77,Jamaica,0.866666667,0.866666667,0.8,0.2
78,Japan,0.516666667,0.533333333,0.466666667,0.4
79,Jordan,0.5,0.36,0.24,0.64
80,Kazakhstan,0.43,0.37,0.33,0.43
81,Kenya,0.644444444,0.677777778,0.544444444,0.366666667
82,Kosovo,0.5,0.5,0.45,0.45
83,Kuwait,0.6,0.2,0.1,0.8
84,Kyrgyzstan,0.375,0.3,0.2875,0.45
85,Laos,0.7,0.766666667,0.633333333,0.266666667
86,Latvia,0.5,0.5,0.45,0.45
87,Lebanon,0.6,0.7,0.5,0.45
88,Lesotho,0.4,0.566666667,0.366666667,0.433333333
89,Liberia,0.8,0.8,0.7,0.25
90,Libya,0.566666667,0.466666667,0.3,0.566666667
91,Lithuania,0.5,0.5,0.45,0.45
92,Luxembourg,0.5,0.6,0.5,0.5
93,Macedonia,0.525,0.575,0.5,0.475
94,Madagascar,0.625,0.725,0.5875,0.325
95,Malawi,0.5,0.65,0.45,0.325
96,Malaysia,0.95,0.95,0.9,0.15
97,Mali,0.566666667,0.433333333,0.333333333,0.533333333
98,Mauritania,0.5,0.3,0.2,0.65
99,Mexico,0.6,0.621428571,0.485714286,0.428571429
100,Moldova,0.533333333,0.566666667,0.5,0.466666667
101,Mongolia,0.266666667,0.183333333,0.166666667,0.4
102,Montenegro,0.575,0.625,0.5,0.45
103,Morocco,0.5,0.36,0.24,0.64
104,Mozambique,0.5,0.65,0.45,0.325
105,Myanmar,0.475,0.6,0.4375,0.2875
106,N. Cyprus,0.55,0.6,0.4,0.45
107,Namibia,0.45,0.25,0.175,0.7
108,Nepal,0.275,0.425,0.275,0.175
109,Netherlands,0.5,0.6,0.5,0.5
110,New Caledonia,0.8,0.84,0.74,0.26
111,New Zealand,0.333333333,0.4,0.333333333,0.333333333
112,Nicaragua,0.866666667,0.866666667,0.8,0.2
113,Niger,0.566666667,0.433333333,0.333333333,0.533333333
114,Nigeria,0.65,0.55,0.45,0.45
115,North Korea,0.34,0.3,0.3,0.28
116,Norway,0.333333333,0.333333333,0.3,0.316666667
117,Oman,0.6,0.2,0.1,0.8
118,Pakistan,0.457142857,0.428571429,0.35,0.478571429
119,Palestine,0.55,0.6,0.4,0.45
120,Panama,0.866666667,0.866666667,0.8,0.2
121,Papua New Guinea,0.866666667,0.866666667,0.8,0.2
122,Paraguay,0.62,0.68,0.56,0.36
123,Peru,0.518181818,0.518181818,0.4,0.4
124,Philippines,0.76,0.86,0.7,0.2
125,Poland,0.466666667,0.433333333,0.4,0.433333333
126,Portugal,0.6,0.7,0.5,0.45
127,Puerto Rico,0.866666667,0.866666667,0.8,0.2
128,Qatar,0.6,0.2,0.1,0.8
129,Romania,0.46,0.46,0.4,0.48
130,Russia,0.366666667,0.36,0.326666667,0.34
131,Rwanda,0.533333333,0.7,0.5,0.333333333
132,S. Sudan,0.65,0.55,0.45,0.45
133,Saudi Arabia,0.55,0.15,0.1,0.85
134,Senegal,0.625,0.55,0.425,0.45
135,Serbia,0.533333333,0.566666667,0.5,0.466666667
136,Sierra Leone,0.8,0.8,0.7,0.25
137,Slovakia,0.466666667,0.433333333,0.4,0.433333333
138,Slovenia,0.5,0.5,0.45,0.45
139,Solomon Islands,1,1,1,0.1
140,Somalia,0.6,0.5,0.366666667,0.5
141,Somaliland,0.5,0.433333333,0.3,0.533333333
142,South Africa,0.518181818,0.536363636,0.390909091,0.5
143,South Korea,0.45,0.466666667,0.416666667,0.35
144,Spain,0.5,0.566666667,0.433333333,0.5
145,Sri Lanka,0.9,0.933333333,0.833333333,0.166666667
146,Sudan,0.566666667,0.433333333,0.333333333,0.533333333
147,Suriname,0.95,0.95,0.9,0.15
148,Sweden,0.375,0.35,0.325,0.35
149,Switzerland,0.35,0.375,0.325,0.35
150,Syria,0.5,0.4,0.283333333,0.616666667
151,Taiwan,0.6,0.733333333,0.566666667,0.333333333
152,Tajikistan,0.4125,0.3875,0.325,0.4625
153,Tanzania,0.65,0.75,0.6,0.2875
154,Thailand,0.775,0.825,0.725,0.225
155,Timor-Leste,0.7,0.7,0.6,0.3
156,Togo,0.7,0.7,0.6,0.3
157,Trinidad and Tobago,0.8,0.8,0.7,0.25
158,Tunisia,0.5,0.36,0.24,0.64
159,Turkey,0.5,0.522222222,0.444444444,0.444444444
160,Turkmenistan,0.475,0.4,0.275,0.6
161,Uganda,0.716666667,0.75,0.65,0.3
162,Ukraine,0.483333333,0.466666667,0.416666667,0.45
163,UAE,0.6,0.2,0.1,0.8
164,Great Britain,0.45,0.55,0.45,0.45
165,USA,0.481818182,0.463636364,0.4,0.395454545
166,Uruguay,0.55,0.65,0.55,0.5
167,Uzbekistan,0.45,0.425,0.35,0.5125
168,Vanuatu,0.95,0.95,0.9,0.15
169,Venezuela,0.642857143,0.657142857,0.528571429,0.371428571
170,Vietnam,0.7,0.766666667,0.633333333,0.266666667
171,W. Sahara,0.6,0.2,0.1,0.8
172,Yemen,0.45,0.25,0.175,0.7
173,Zambia,0.5,0.65,0.45,0.325
174,Zimbabwe,0.52,0.56,0.38,0.42
175,Eswatini,0.5,0.65,0.45,0.325
