country,1972
Afghanistan,11.9M
Angola,6.17M
Albania,2.29M
Andorra,23k
UAE,385k
Argentina,24.6M
Armenia,2.58M
Antigua and Barbuda,64.6k
Australia,13.3M
Austria,7.54M
Azerbaijan,5.38M
Burundi,3.62M
Belgium,9.69M
Benin,3.21M
Burkina Faso,5.81M
Bangladesh,71.6M
Bulgaria,8.58M
Bahrain,242k
Bahamas,196k
Bosnia and Herzegovina,3.85M
Belarus,9.14M
Belize,125k
Bolivia,4.8M
Brazil,100M
Barbados,250k
Brunei,142k
Bhutan,330k
Botswana,622k
Central African Republic,2.18M
Canada,22.2M
Switzerland,6.26M
Chile,10.2M
China,864M
Cote d'Ivoire,5.91M
Cameroon,6.81M
"Congo, Dem. Rep.",21.3M
"Congo, Rep.",1.49M
Colombia,21.8M
Comoros,260k
Cape Verde,297k
Costa Rica,1.94M
Cuba,9.12M
Cyprus,661k
Czech Republic,9.86M
Germany,78.7M
Djibouti,166k
Dominica,70.1k
Denmark,4.99M
Dominican Republic,4.65M
Algeria,14.4M
Ecuador,6.53M
Egypt,36.3M
Eritrea,1.31M
Spain,34.5M
Estonia,1.39M
Ethiopia,29.4M
Finland,4.64M
Fiji,550k
France,51.7M
"Micronesia, Fed. Sts.",62.3k
Gabon,621k
UK,56.1M
Georgia,4.88M
Ghana,9.44M
Guinea,4.43M
Gambia,555k
Guinea-Bissau,587k
Equatorial Guinea,309k
Greece,8.85M
Grenada,98.8k
Guatemala,5.68M
Guyana,722k
"Hong Kong, China",4.12M
Honduras,2.92M
Holy See,663
Croatia,4.5M
Haiti,4.81M
Hungary,10.4M
Indonesia,122M
India,570M
Ireland,3.04M
Iran,30.9M
Iraq,10.4M
Iceland,209k
Israel,3.08M
Italy,54.1M
Jamaica,1.93M
Jordan,1.71M
Japan,109M
Kazakhstan,13M
Kenya,12.2M
Kyrgyz Republic,3.17M
Cambodia,6.67M
Kiribati,59.8k
St. Kitts and Nevis,44k
South Korea,33.9M
Kuwait,920k
Lao,2.8M
Lebanon,2.51M
Liberia,1.54M
Libya,2.23M
St. Lucia,106k
Liechtenstein,22k
Sri Lanka,12.8M
Lesotho,1.09M
Lithuania,3.2M
Luxembourg,346k
Latvia,2.4M
Morocco,15.9M
Monaco,24.9k
Moldova,3.71M
Madagascar,7.07M
Maldives,131k
Mexico,54M
Marshall Islands,24k
North Macedonia,1.72M
Mali,6.48M
Malta,329k
Myanmar,28.4M
Montenegro,541k
Mongolia,1.37M
Mozambique,8.69M
Mauritania,1.17M
Mauritius,854k
Malawi,4.87M
Malaysia,10.7M
Namibia,804k
Niger,4.9M
Nigeria,58.6M
Nicaragua,2.57M
Netherlands,13.3M
Norway,3.93M
Nepal,13M
Nauru,6810
New Zealand,2.92M
Oman,701k
Pakistan,63.6M
Panama,1.6M
Peru,14.2M
Philippines,39.4M
Palau,12.2k
Papua New Guinea,2.63M
Poland,33M
North Korea,16M
Portugal,8.82M
Paraguay,2.5M
Palestine,1.16M
Qatar,147k
Romania,20.6M
Russia,132M
Rwanda,4.22M
Saudi Arabia,3.91M
Sudan,12.5M
Senegal,4.74M
Singapore,2.16M
Solomon Islands,185k
Sierra Leone,2.81M
El Salvador,3.85M
San Marino,18.8k
Somalia,3.94M
Serbia,7.42M
South Sudan,3.54M
Sao Tome and Principe,81k
Suriname,397k
Slovak Republic,4.6M
Slovenia,1.77M
Sweden,8.12M
Eswatini,466k
Seychelles,56.9k
Syria,6.83M
Chad,3.89M
Togo,2.38M
Thailand,37.9M
Tajikistan,3.12M
Turkmenistan,2.31M
Timor-Leste,573k
Tonga,87.4k
Trinidad and Tobago,1.01M
Tunisia,5.4M
Turkey,38.4M
Tuvalu,5690
Taiwan,15.5M
Tanzania,14.5M
Uganda,10.9M
Ukraine,47.9M
Uruguay,2.82M
USA,213M
Uzbekistan,12.5M
St. Vincent and the Grenadines,97.8k
Venezuela,12.1M
Vietnam,43.4M
Vanuatu,91.6k
Samoa,145k
Yemen,7.46M
South Africa,23.6M
Zambia,4.57M
Zimbabwe,5.54M
